   -14.95000     9.54376      .00000
   -14.90000     9.54050      .00000
   -14.85000     9.53719      .00000
   -14.80000     9.53384      .00000
   -14.75000     9.53045      .00000
   -14.70000     9.52700      .00000
   -14.65000     9.52350      .00000
   -14.60000     9.51995      .00000
   -14.55000     9.51635      .00000
   -14.50000     9.51270      .00000
   -14.45000     9.50899      .00000
   -14.40000     9.50523      .00000
   -14.35000     9.50141      .00000
   -14.30000     9.49753      .00000
   -14.25000     9.49360      .00000
   -14.20000     9.48960      .00000
   -14.15000     9.48554      .00000
   -14.10000     9.48142      .00000
   -14.05000     9.47723      .00000
   -14.00000     9.47298      .00000
   -13.95000     9.46866      .00000
   -13.90000     9.46427      .00000
   -13.85000     9.45981      .00000
   -13.80000     9.45528      .00000
   -13.75000     9.45067      .00000
   -13.70000     9.44599      .00000
   -13.65000     9.44123      .00000
   -13.60000     9.43639      .00000
   -13.55000     9.43147      .00000
   -13.50000     9.42647      .00000
   -13.45000     9.42138      .00000
   -13.40000     9.41621      .00000
   -13.35000     9.41095      .00000
   -13.30000     9.40559      .00000
   -13.25000     9.40014      .00000
   -13.20000     9.39460      .00000
   -13.15000     9.38895      .00000
   -13.10000     9.38321      .00000
   -13.05000     9.37736      .00000
   -13.00000     9.37141      .00000
   -12.95000     9.36535      .00000
   -12.90000     9.35918      .00000
   -12.85000     9.35289      .00000
   -12.80000     9.34649      .00000
   -12.75000     9.33996      .00000
   -12.70000     9.33332      .00000
   -12.65000     9.32654      .00000
   -12.60000     9.31964      .00000
   -12.55000     9.31261      .00000
   -12.50000     9.30544      .00000
   -12.45000     9.29813      .00000
   -12.40000     9.29068      .00000
   -12.35000     9.28308      .00000
   -12.30000     9.27532      .00000
   -12.25000     9.26742      .00000
   -12.20000     9.25935      .00000
   -12.15000     9.25113      .00000
   -12.10000     9.24273      .00000
   -12.05000     9.23417      .00000
   -12.00000     9.22542      .00000
   -11.95000     9.21650      .00000
   -11.90000     9.20739      .00000
   -11.85000     9.19809      .00000
   -11.80000     9.18860      .00000
   -11.75000     9.17890      .00000
   -11.70000     9.16900      .00000
   -11.65000     9.15889      .00000
   -11.60000     9.14856      .00000
   -11.55000     9.13801      .00000
   -11.50000     9.12723      .00000
   -11.45000     9.11622      .00000
   -11.40000     9.10497      .00000
   -11.35000     9.09348      .00000
   -11.30000     9.08173      .00000
   -11.25000     9.06972      .00000
   -11.20000     9.05745      .00000
   -11.15000     9.04491      .00000
   -11.10000     9.03210      .00000
   -11.05000     9.01900      .00000
   -11.00000     9.00561      .00000
   -10.95000     8.99192      .00000
   -10.90000     8.97793      .00000
   -10.85000     8.96363      .00000
   -10.80000     8.94901      .00000
   -10.75000     8.93407      .00000
   -10.70000     8.91880      .00000
   -10.65000     8.90320      .00000
   -10.60000     8.88725      .00000
   -10.55000     8.87095      .00000
   -10.50000     8.85429      .00000
   -10.45000     8.83727      .00000
   -10.40000     8.81989      .00000
   -10.35000     8.80213      .00000
   -10.30000     8.78398      .00000
   -10.25000     8.76546      .00000
   -10.20000     8.74654      .00000
   -10.15000     8.72722      .00000
   -10.10000     8.70751      .00000
   -10.05000     8.68739      .00000
   -10.00000     8.66685      .00000
    -9.95000     8.64591      .00000
    -9.90000     8.62455      .00000
    -9.85000     8.60277      .00000
    -9.80000     8.58057      .00000
    -9.75000     8.55794      .00000
    -9.70000     8.53489      .00000
    -9.65000     8.51141      .00000
    -9.60000     8.48750      .00000
    -9.55000     8.46316      .00000
    -9.50000     8.43840      .00000
    -9.45000     8.41322      .00000
    -9.40000     8.38760      .00000
    -9.35000     8.36157      .00000
    -9.30000     8.33512      .00000
    -9.25000     8.30825      .00000
    -9.20000     8.28097      .00000
    -9.15000     8.25328      .00000
    -9.10000     8.22519      .00000
    -9.05000     8.19670      .00000
    -9.00000     8.16782      .00000
    -8.95000     8.13855      .00000
    -8.90000     8.10891      .00000
    -8.85000     8.07889      .00000
    -8.80000     8.04852      .00000
    -8.75000     8.01779      .00000
    -8.70000     7.98671      .00000
    -8.65000     7.95530      .00000
    -8.60000     7.92357      .00000
    -8.55000     7.89151      .00000
    -8.50000     7.83226     -.42234
    -8.50000     7.85915      .00000
    -8.50000     7.83226      .42234
    -8.45000     7.77443     -.60196
    -8.45000     7.82650      .00000
    -8.45000     7.77443      .60196
    -8.40000     7.72014     -.73233
    -8.40000     7.79356      .00000
    -8.40000     7.72014      .73233
    -8.35000     7.66904     -.83696
    -8.35000     7.76034      .00000
    -8.35000     7.66904      .83696
    -8.30000     7.62081     -.92484
    -8.30000     7.72686      .00000
    -8.30000     7.62081      .92484
    -8.25000     7.57516    -1.00060
    -8.25000     7.69313      .00000
    -8.25000     7.57516     1.00060
    -8.20000     7.53183    -1.06704
    -8.20000     7.65917      .00000
    -8.20000     7.53183     1.06704
    -8.15000     7.49058    -1.12602
    -8.15000     7.62497      .00000
    -8.15000     7.49058     1.12602
    -8.10000     7.45119    -1.17886
    -8.10000     7.59056      .00000
    -8.10000     7.45119     1.17886
    -8.05000     7.41347    -1.22653
    -8.05000     7.55594      .00000
    -8.05000     7.41347     1.22653
    -8.00000     7.37724    -1.26980
    -8.00000     7.52113      .00000
    -8.00000     7.37724     1.26980
    -7.95000     7.34235    -1.30924
    -7.95000     7.48614      .00000
    -7.95000     7.34235     1.30924
    -7.90000     7.30865    -1.34536
    -7.90000     7.45099      .00000
    -7.90000     7.30865     1.34536
    -7.85000     7.27601    -1.37855
    -7.85000     7.41568      .00000
    -7.85000     7.27601     1.37855
    -7.80000     7.24432    -1.40913
